name,lon,lat,tipo_geometria,pais,fecha_descarga
Chaflán de la Tapa,-1.8609512,38.9892609,Point,España,2026-03-04 13:06:55.752367
Sibuya Urban Sushi Bar,-1.8538883,38.9928696,Point,España,2026-03-04 13:06:55.752367
La Búha y el Búho,-1.8528802,38.9927684,Point,España,2026-03-04 13:06:55.752367
La Fonda,-1.853018,38.9928121,Point,España,2026-03-04 13:06:55.752367
Bar Deporte,-1.8561787,38.981474,Point,España,2026-03-04 13:06:55.752367
Las Mariquillas,-1.8560988,38.9812196,Point,España,2026-03-04 13:06:55.752367
Saona,-1.8538518,38.9909553,Point,España,2026-03-04 13:06:55.752367
La Peña Tapas & Copas,-1.8557969,38.9810971,Point,España,2026-03-04 13:06:55.752367
Escuela - Restaurante El Sembrador,-1.8550606,38.9816622,Point,España,2026-03-04 13:06:55.752367
La Tía Juana,-1.8538361,38.9914744,Point,España,2026-03-04 13:06:55.752367
Jimena Cocktails & Restaurant,-1.8531911,38.9928677,Point,España,2026-03-04 13:06:55.752367
Sueños del Este,-1.8533779,38.9929063,Point,España,2026-03-04 13:06:55.752367
Mahalo Poké,-1.8555553,38.995274,Point,España,2026-03-04 13:06:55.752367
Tsuruta Ramen,-1.8554825,38.9953921,Point,España,2026-03-04 13:06:55.752367
Himawari Ramen,-1.8586395,38.9925327,Point,España,2026-03-04 13:06:55.752367
Foster's Hollywood,-1.8571596,38.993653,Point,España,2026-03-04 13:06:55.752367
Restaurante Asador Concepción,-1.8552417,38.9942858,Point,España,2026-03-04 13:06:55.752367
La Marteña,-1.8602251,38.994537,Point,España,2026-03-04 13:06:55.752367
El Suculento,-1.8532251,38.9911094,Point,España,2026-03-04 13:06:55.752367
Las Rejas,-1.8553973,38.9914441,Point,España,2026-03-04 13:06:55.752367
Brasa y Birra,-1.8546609,38.9912352,Point,España,2026-03-04 13:06:55.752367
Sublime Calasanz,-1.8545022,38.9898704,Point,España,2026-03-04 13:06:55.752367
Baru,-1.8569769,38.9896154,Point,España,2026-03-04 13:06:55.752367
Max Sins,-1.8642192,38.9950209,Point,España,2026-03-04 13:06:55.752367
Soho,-1.8528557,38.9838722,Point,España,2026-03-04 13:06:55.752367
Mesón El Sol,-1.852587,38.9889959,Point,España,2026-03-04 13:06:55.752367
Catacaldos,-1.8532705,38.9889599,Point,España,2026-03-04 13:06:55.752367
Yangtzé,-1.8549559,38.9911648,Point,España,2026-03-04 13:06:55.752367
La Tagliatella,-1.8536831,38.9914894,Point,España,2026-03-04 13:06:55.752367
Xabre,-1.8532862,38.9912702,Point,España,2026-03-04 13:06:55.752367
Ababol,-1.8541149,38.9888128,Point,España,2026-03-04 13:06:55.752367
Sabor a Mundo,-1.8592036,38.995071,Point,España,2026-03-04 13:06:55.752367
Mucho + Que Pizza,-1.8573351,38.9944892,Point,España,2026-03-04 13:06:55.752367
Los Molinos,-1.8572802,38.9917235,Point,España,2026-03-04 13:06:55.752367
Goiko Grill,-1.8585647,38.9913696,Point,España,2026-03-04 13:06:55.752367
Carmen,-1.8668753,38.9962869,Point,España,2026-03-04 13:06:55.752367
Mucho + Que Pizza,-1.8595709,38.986779,Point,España,2026-03-04 13:06:55.752367
Día & Noche,-1.8529892,38.9992447,Point,España,2026-03-04 13:06:55.752367
Ramen,-1.8555645,38.9955393,Point,España,2026-03-04 13:06:55.752367
Domino's,-1.847639,38.9985664,Point,España,2026-03-04 13:06:55.752367
967,-1.851352,38.9987721,Point,España,2026-03-04 13:06:55.752367
Mi Amore,-1.8541151,38.9936734,Point,España,2026-03-04 13:06:55.752367
Hoy Sushi,-1.8636924,38.9962429,Point,España,2026-03-04 13:06:55.752367
Enrique y Francisco II,-1.8625696,38.996117,Point,España,2026-03-04 13:06:55.752367
,-1.8591533,38.9935402,Point,España,2026-03-04 13:06:55.752367
Gran Muralla,-1.8610613,38.9926579,Point,España,2026-03-04 13:06:55.752367
Pomodoro,-1.879738,39.0074431,Point,España,2026-03-04 13:06:55.752367
Vips,-1.8792739,39.0080885,Point,España,2026-03-04 13:06:55.752367
Foster's Hollywood,-1.8796827,39.007833,Point,España,2026-03-04 13:06:55.752367
Wok Sushi,-1.8799656,39.0077288,Point,España,2026-03-04 13:06:55.752367
Krunch,-1.8799315,39.0076397,Point,España,2026-03-04 13:06:55.752367
Ding Ramen,-1.8798078,39.007478,Point,España,2026-03-04 13:06:55.752367
Ginos,-1.8793299,39.0074316,Point,España,2026-03-04 13:06:55.752367
Fresh Sushi,-1.8678213,38.984145,Point,España,2026-03-04 13:06:55.752367
100 Montaditos,-1.8474744,38.9903384,Point,España,2026-03-04 13:06:55.752367
Pomodoro,-1.8473677,38.9903029,Point,España,2026-03-04 13:06:55.752367
Casa de Oro,-1.8627411,38.9976325,Point,España,2026-03-04 13:06:55.752367
Casa de Oro II,-1.859935,38.9988007,Point,España,2026-03-04 13:06:55.752367
Telepizza,-1.859571,38.9989034,Point,España,2026-03-04 13:06:55.752367
,-1.8605771,39.0007097,Point,España,2026-03-04 13:06:55.752367
Restaurante Árabe Ouzoud,-1.8608736,38.9910932,Point,España,2026-03-04 13:06:55.752367
,-1.8633875,38.9954204,Point,España,2026-03-04 13:06:55.752367
Pizzería La Mancha,-1.8626553,38.993837,Point,España,2026-03-04 13:06:55.752367
Giorgi Pizzería,-1.8618721,38.9888346,Point,España,2026-03-04 13:06:55.752367
Pizzería Ángela,-1.8723613,39.0059807,Point,España,2026-03-04 13:06:55.752367
Arrocería Freiduría Portobello,-1.8455628,38.9871882,Point,España,2026-03-04 13:06:55.752367
Seven Joy,-1.8728412,39.0083892,Point,España,2026-03-04 13:06:55.752367
La Fonda,-1.8722597,39.0070445,Point,España,2026-03-04 13:06:55.752367
El Escondido,-1.869916,39.0016738,Point,España,2026-03-04 13:06:55.752367
Pizzería Albaceteña,-1.8721973,38.9961186,Point,España,2026-03-04 13:06:55.752367
Brasería Carmen,-1.8871887572396682,39.01504398867222,Polygon,España,2026-03-04 13:06:55.752367
100 Montaditos,-1.8791588411272064,39.00779952399009,Polygon,España,2026-03-04 13:06:55.752367
Restaurante 6 Hermanos,-1.9335835374888817,39.06103654552432,Polygon,España,2026-03-04 13:06:55.752367
Restaurante Mesón Alegría,-1.743878824198889,39.066582604923,Polygon,España,2026-03-04 13:06:55.752367
Merendero la Vereda,-1.8772581072198375,38.98791917394767,Polygon,España,2026-03-04 13:06:55.752367
Horchatería Los Valencianos,-1.873520474049334,39.006098233752326,Polygon,España,2026-03-04 13:06:55.752367
"Mesón ""El Lomo""",-1.8781869755844651,38.95661950621147,Polygon,España,2026-03-04 13:06:55.752367
,-1.832217448950089,38.92979193532536,Polygon,España,2026-03-04 13:06:55.752367
Valencia Once,-0.4838708,38.3525297,Point,España,2026-03-04 13:06:55.752367
casa Salvi,-0.468365,38.3598232,Point,España,2026-03-04 13:06:55.752367
Torre Mauro,-0.4308318,38.3660534,Point,España,2026-03-04 13:06:55.752367
Salones Juan XXIII,-0.4700606,38.3699207,Point,España,2026-03-04 13:06:55.752367
restaurante astorga,-0.494505,38.3468766,Point,España,2026-03-04 13:06:55.752367
Restaurante Baeza & Rufete,-0.4334877,38.3686514,Point,España,2026-03-04 13:06:55.752367
La Tagliatella,-0.4304898,38.3629134,Point,España,2026-03-04 13:06:55.752367
cervecería Max,-0.4348772,38.3687039,Point,España,2026-03-04 13:06:55.752367
L'arruz,-0.4322083,38.3654754,Point,España,2026-03-04 13:06:55.752367
Bayari,-0.4272925,38.3676002,Point,España,2026-03-04 13:06:55.752367
La Lonja de Andrino,-0.4272065,38.3676363,Point,España,2026-03-04 13:06:55.752367
Restaurante Nan-King,-0.4314512,38.3626861,Point,España,2026-03-04 13:06:55.752367
Bayari,-0.4251845,38.3672345,Point,España,2026-03-04 13:06:55.752367
Touch,-0.4292934,38.3667719,Point,España,2026-03-04 13:06:55.752367
Restaurante Tailandés Sabatika,-0.4304591,38.3663084,Point,España,2026-03-04 13:06:55.752367
La Gamba,-0.4314241,38.3644441,Point,España,2026-03-04 13:06:55.752367
Restaurante Dársena,-0.4869017,38.338395,Point,España,2026-03-04 13:06:55.752367
Torre de Rejas,-0.4392971,38.3790808,Point,España,2026-03-04 13:06:55.752367
La Ereta,-0.4816896,38.348479,Point,España,2026-03-04 13:06:55.752367
Aldebarán,-0.487114,38.3390484,Point,España,2026-03-04 13:06:55.752367
Racó del Plá,-0.4777002,38.3568583,Point,España,2026-03-04 13:06:55.752367
El rincón de la amistad,-0.4761015,38.3602449,Point,España,2026-03-04 13:06:55.752367
Asador 7 de Julio,-0.525562,38.3443393,Point,España,2026-03-04 13:06:55.752367
Bar Europa,-0.5271327,38.3448778,Point,España,2026-03-04 13:06:55.752367
La Bona Cuina,-0.4915656,38.3397106,Point,España,2026-03-04 13:06:55.752367
Piripi,-0.4940235,38.3422835,Point,España,2026-03-04 13:06:55.752367
Restaurante Casamar,-0.5635958,38.4107649,Point,España,2026-03-04 13:06:55.752367
Nou Manolín,-0.4851219,38.3452916,Point,España,2026-03-04 13:06:55.752367
Monastrell,-0.4815514,38.3442953,Point,España,2026-03-04 13:06:55.752367
El jumillano,-0.487199,38.3471024,Point,España,2026-03-04 13:06:55.752367
Cervecería Bayarri,-0.4313873,38.3645179,Point,España,2026-03-04 13:06:55.752367
Lucentum,-0.4401247,38.3657462,Point,España,2026-03-04 13:06:55.752367
Isla d'Jerba,-0.4334196,38.368457,Point,España,2026-03-04 13:06:55.752367
Lizarrán,-0.488306,38.3470726,Point,España,2026-03-04 13:06:55.752367
El Merengue,-0.4894979,38.3466428,Point,España,2026-03-04 13:06:55.752367
La Taberna de Luceros,-0.4900207,38.3458273,Point,España,2026-03-04 13:06:55.752367
Zhong Hua,-0.489639,38.3454875,Point,España,2026-03-04 13:06:55.752367
Pizzería Guay,-0.42148,38.3590492,Point,España,2026-03-04 13:06:55.752367
El bodegón,-0.4256751,38.3654519,Point,España,2026-03-04 13:06:55.752367
Super Pizza,-0.4148037,38.3714456,Point,España,2026-03-04 13:06:55.752367
restaurante Estrella,-0.4123308,38.3710971,Point,España,2026-03-04 13:06:55.752367
La Barbacoa,-0.4104744,38.3659956,Point,España,2026-03-04 13:06:55.752367
Azul Playa,-0.4105808,38.3687488,Point,España,2026-03-04 13:06:55.752367
Il Fornello,-0.4105199,38.3675764,Point,España,2026-03-04 13:06:55.752367
Nou Nerea,-0.4971784,38.3506317,Point,España,2026-03-04 13:06:55.752367
Pizzería Terra Nosa,-0.4962035,38.3501941,Point,España,2026-03-04 13:06:55.752367
Lanús,-0.467233,38.3627705,Point,España,2026-03-04 13:06:55.752367
El mirador,-0.4831336,38.3438389,Point,España,2026-03-04 13:06:55.752367
Lizarran,-0.4834815,38.345152,Point,España,2026-03-04 13:06:55.752367
Pomodoro,-0.4846771,38.3466305,Point,España,2026-03-04 13:06:55.752367
Restaurante Aitana,-0.4101233,38.3780219,Point,España,2026-03-04 13:06:55.752367
Kebap,-0.4877254,38.3415645,Point,España,2026-03-04 13:06:55.752367
Restaurante Oriente,-0.4882779,38.342305,Point,España,2026-03-04 13:06:55.752367
Orient Express,-0.4881384,38.3421199,Point,España,2026-03-04 13:06:55.752367
Pilsen,-0.4851262,38.347595,Point,España,2026-03-04 13:06:55.752367
La paellica express,-0.4254982,38.3642379,Point,España,2026-03-04 13:06:55.752367
Kebap Gran Via,-0.4905824,38.3630359,Point,España,2026-03-04 13:06:55.752367
De Cuchara La Cocina de Carmen,-0.4895052,38.3477245,Point,España,2026-03-04 13:06:55.752367
El Ático,-0.4831402,38.3453985,Point,España,2026-03-04 13:06:55.752367
,-0.4835373,38.3468006,Point,España,2026-03-04 13:06:55.752367
los troncos,-0.4480537,38.362568,Point,España,2026-03-04 13:06:55.752367
Casa Jesus,-0.4426785,38.3639224,Point,España,2026-03-04 13:06:55.752367
La Lonja,-0.4867714,38.349374,Point,España,2026-03-04 13:06:55.752367
,-0.514114,38.3413042,Point,España,2026-03-04 13:06:55.752367
Döner Kebab,-0.5082855,38.3378137,Point,España,2026-03-04 13:06:55.752367
Puntapiedra,-0.4662965,38.3521315,Point,España,2026-03-04 13:06:55.752367
