NAMEUNIT,num_pizzerias,municipio_norm,POB25,PROVINCIA,CPRO,CMUN,pizzerias_100k_hab
Villanueva de Oscos,1,villanueva de oscos,244.0,Asturias,33.0,75.0,409.8360655737705
Villanueva de la Fuente,7,villanueva de la fuente,1831.0,Ciudad Real,13.0,92.0,382.30475150191154
Villanueva de la Reina,2,villanueva de la reina,2941.0,Jaén,23.0,96.0,68.00408024481469
Villanueva de las Manzanas,2,villanueva de las manzanas,484.0,León,24.0,218.0,413.22314049586777
Villanueva de las Peras,1,villanueva de las peras,85.0,Zamora,49.0,259.0,1176.470588235294
Villanueva de los Infantes,1,villanueva de los infantes,4733.0,Ciudad Real,13.0,93.0,21.12824846820199
Villanueva de los Infantes,1,villanueva de los infantes,116.0,Valladolid,47.0,221.0,862.0689655172414
Villanueva del Arzobispo,3,villanueva del arzobispo,7703.0,Jaén,23.0,97.0,38.94586524730624
Villanueva del Campo,1,villanueva del campo,736.0,Zamora,49.0,260.0,135.8695652173913
Villanázar,1,villanazar,256.0,Zamora,49.0,256.0,390.625
Villanúa,4,villanua,570.0,Huesca,22.0,250.0,701.7543859649122
Villaobispo de Otero,1,villaobispo de otero,514.0,León,24.0,219.0,194.5525291828794
Villaquilambre,8,villaquilambre,18905.0,León,24.0,222.0,42.316847394869086
Villar del Buey,2,villar del buey,483.0,Zamora,49.0,264.0,414.0786749482402
Villaralbo,1,villaralbo,1782.0,Zamora,49.0,261.0,56.116722783389456
Villardeciervos,1,villardeciervos,383.0,Zamora,49.0,262.0,261.0966057441253
Villardompardo,2,villardompardo,893.0,Jaén,23.0,98.0,223.96416573348264
Villares de Órbigo,1,villares de orbigo,557.0,León,24.0,224.0,179.53321364452424
Villarluengo,1,villarluengo,159.0,Teruel,44.0,260.0,628.9308176100628
Villarquemado,2,villarquemado,901.0,Teruel,44.0,261.0,221.97558268590453
Villarramiel,1,villarramiel,782.0,Palencia,34.0,232.0,127.8772378516624
Villarrubia de los Ojos,4,villarrubia de los ojos,9512.0,Ciudad Real,13.0,96.0,42.05214465937763
Villarta de San Juan,0,villarta de san juan,2681.0,Ciudad Real,13.0,97.0,0.0
Villasabariego,3,villasabariego,1155.0,León,24.0,225.0,259.7402597402598
Villatorres,3,villatorres,4259.0,Jaén,23.0,903.0,70.43907020427329
Villaturiel,2,villaturiel,1818.0,León,24.0,227.0,110.01100110011
Villava/Atarrabia,2,villava/atarrabia,9928.0,Navarra,31.0,258.0,20.145044319097504
Villaviciosa,62,villaviciosa,15379.0,Asturias,33.0,76.0,403.1471487092789
Villaviudas,1,villaviudas,356.0,Palencia,34.0,238.0,280.8988764044944
Villayón,3,villayon,1054.0,Asturias,33.0,77.0,284.6299810246679
Villodrigo,2,villodrigo,96.0,Palencia,34.0,242.0,2083.333333333333
Villoldo,2,villoldo,333.0,Palencia,34.0,243.0,600.6006006006006
Villoslada de Cameros,1,villoslada de cameros,351.0,"Rioja, La",26.0,177.0,284.9002849002849
Vinaròs,42,vinaros,30529.0,Castellón/Castelló,12.0,138.0,137.57410986275343
Viniegra de Abajo,2,viniegra de abajo,81.0,"Rioja, La",26.0,178.0,2469.135802469136
Vinuesa,12,vinuesa,826.0,Soria,42.0,215.0,1452.7845036319611
Viso del Marqués,3,viso del marques,2091.0,Ciudad Real,13.0,98.0,143.47202295552367
Vistabella del Maestrat,3,vistabella del maestrat,354.0,Castellón/Castelló,12.0,139.0,847.457627118644
Vitoria-Gasteiz,242,vitoria-gasteiz,260699.0,Araba/Álava,1.0,59.0,92.827360289069
Viveiro,44,viveiro,15120.0,Lugo,27.0,66.0,291.005291005291
Viver,5,viver,1729.0,Castellón/Castelló,12.0,140.0,289.1844997108155
Xermade,2,xermade,1665.0,Lugo,27.0,21.0,120.1201201201201
Xert,3,xert,702.0,Castellón/Castelló,12.0,52.0,427.3504273504273
Xinzo de Limia,4,xinzo de limia,9699.0,Ourense,32.0,32.0,41.24136508918445
Xodos/Chodos,2,xodos/chodos,107.0,Castellón/Castelló,12.0,55.0,1869.1588785046729
Xove,1,xove,3269.0,Lugo,27.0,25.0,30.59039461609055
Yanguas,3,yanguas,104.0,Soria,42.0,218.0,2884.6153846153848
Yebes,1,yebes,5637.0,Guadalajara,19.0,326.0,17.739932588256163
Yebra de Basa,1,yebra de basa,155.0,Huesca,22.0,252.0,645.1612903225806
Yernes y Tameza,1,yernes y tameza,134.0,Asturias,33.0,78.0,746.2686567164179
Yesa,3,yesa,297.0,Navarra,31.0,261.0,1010.1010101010102
Yunquera de Henares,2,yunquera de henares,4706.0,Guadalajara,19.0,331.0,42.49893752656184
Yécora/Iekora,1,yecora/iekora,278.0,Araba/Álava,1.0,60.0,359.71223021582733
Yésero,1,yesero,60.0,Huesca,22.0,253.0,1666.6666666666667
Zaldibia,2,zaldibia,1761.0,Gipuzkoa,20.0,78.0,113.57183418512209
Zalduondo,2,zalduondo,195.0,Araba/Álava,1.0,61.0,1025.6410256410256
Zalla,5,zalla,8334.0,Bizkaia,48.0,96.0,59.99520038396928
Zamora,61,zamora,59815.0,Zamora,49.0,275.0,101.981108417621
Zamudio,12,zamudio,3442.0,Bizkaia,48.0,905.0,348.6345148169669
Zaorejas,0,zaorejas,117.0,Guadalajara,19.0,333.0,0.0
Zaragoza,889,zaragoza,693091.0,Zaragoza,50.0,297.0,128.2659852746609
Zaratamo,1,zaratamo,1609.0,Bizkaia,48.0,97.0,62.15040397762586
Zarautz,45,zarautz,23496.0,Gipuzkoa,20.0,79.0,191.5219611848825
Zeanuri,2,zeanuri,1234.0,Bizkaia,48.0,24.0,162.07455429497568
Zeberio,3,zeberio,1087.0,Bizkaia,48.0,25.0,275.9889604415824
Zerain,4,zerain,284.0,Gipuzkoa,20.0,26.0,1408.4507042253522
Zestoa,8,zestoa,3933.0,Gipuzkoa,20.0,27.0,203.4070683956268
Zierbena,12,zierbena,1512.0,Bizkaia,48.0,913.0,793.6507936507936
Zigoitia,2,zigoitia,1845.0,Araba/Álava,1.0,18.0,108.40108401084012
Ziordia,2,ziordia,359.0,Navarra,31.0,73.0,557.1030640668524
Ziortza-Bolibar,3,ziortza-bolibar,401.0,Bizkaia,48.0,915.0,748.1296758104738
Zizur Mayor/Zizur Nagusia,3,zizur mayor/zizur nagusia,16510.0,Navarra,31.0,907.0,18.170805572380377
Zizurkil,3,zizurkil,2976.0,Gipuzkoa,20.0,28.0,100.80645161290322
Zorita de los Canes,1,zorita de los canes,72.0,Guadalajara,19.0,335.0,1388.888888888889
Zorita del Maestrazgo,1,zorita del maestrazgo,118.0,Castellón/Castelló,12.0,141.0,847.457627118644
Zubieta,2,zubieta,292.0,Navarra,31.0,263.0,684.9315068493152
Zucaina,2,zucaina,171.0,Castellón/Castelló,12.0,142.0,1169.5906432748538
Zugarramurdi,4,zugarramurdi,213.0,Navarra,31.0,264.0,1877.9342723004693
Zuia,6,zuia,2350.0,Araba/Álava,1.0,63.0,255.31914893617025
Zumaia,19,zumaia,10160.0,Gipuzkoa,20.0,81.0,187.00787401574803
Zumarraga,4,zumarraga,9678.0,Gipuzkoa,20.0,80.0,41.3308534821244
Zúñiga,1,zuniga,78.0,Navarra,31.0,265.0,1282.051282051282
es Castell,35,es castell,,,,,
l'Alcora,14,l'alcora,,,,,
la Jana,1,la jana,,,,,
la Llosa,2,la llosa,,,,,
la Pobla Tornesa,3,la pobla tornesa,,,,,
la Pobla de Benifassà,9,la pobla de benifassa,,,,,
la Salzadella,1,la salzadella,,,,,
la Serratella,1,la serratella,,,,,
la Torre d'en Besora,2,la torre d'en besora,,,,,
la Vall d'Uixó,11,la vall d'uixo,,,,,
la Vilavella,1,la vilavella,,,,,
les Alqueries/Alquerías del Niño Perdido,3,les alqueries/alquerias del nino perdido,,,,,
les Coves de Vinromà,2,les coves de vinroma,,,,,
les Useres/Useras,1,les useres/useras,,,,,
ses Salines,39,ses salines,,,,,
Ágreda,1,agreda,3133.0,Soria,42.0,4.0,31.91828917969997
Ávila,63,avila,59107.0,Ávila,5.0,19.0,106.5863603295718
Úbeda,35,ubeda,33588.0,Jaén,23.0,92.0,104.20388233893055
