NAMEUNIT,num_pizzerias,municipio_norm,POB25,PROVINCIA,CPRO,CMUN,pizzerias_100k_hab
Santibáñez de Vidriales,3,santibanez de vidriales,846.0,Zamora,49.0,206.0,354.60992907801415
Santillana del Mar,37,santillana del mar,4189.0,Cantabria,39.0,76.0,883.2656958701361
Santisteban del Puerto,1,santisteban del puerto,4451.0,Jaén,23.0,79.0,22.46686137946529
Santiurde de Toranzo,1,santiurde de toranzo,1726.0,Cantabria,39.0,78.0,57.93742757821553
Santo Adriano,1,santo adriano,281.0,Asturias,33.0,64.0,355.87188612099646
Santo Domingo de la Calzada,16,santo domingo de la calzada,6441.0,"Rioja, La",26.0,138.0,248.40863219996896
Santo Tomé,9,santo tome,2029.0,Jaén,23.0,80.0,443.5682602267127
Santovenia,2,santovenia,219.0,Zamora,49.0,207.0,913.24200913242
Santovenia de la Valdoncina,3,santovenia de la valdoncina,2058.0,León,24.0,162.0,145.7725947521866
Santoña,21,santona,10835.0,Cantabria,39.0,79.0,193.81633594831564
Santurtzi,17,santurtzi,46442.0,Bizkaia,48.0,82.0,36.60479738168038
Sariego,1,sariego,1252.0,Asturias,33.0,65.0,79.87220447284345
Sariegos,3,sariegos,5456.0,León,24.0,163.0,54.98533724340176
Saro,1,saro,480.0,Cantabria,39.0,81.0,208.33333333333331
Sarria,27,sarria,13726.0,Lugo,27.0,57.0,196.7069794550488
Sarriés/Sartze,1,sarries/sartze,57.0,Navarra,31.0,222.0,1754.3859649122808
Sarrión,3,sarrion,1261.0,Teruel,44.0,210.0,237.9064234734338
Sartaguda,1,sartaguda,1349.0,Navarra,31.0,223.0,74.12898443291327
Saúca,1,sauca,47.0,Guadalajara,19.0,251.0,2127.6595744680853
Segorbe,6,segorbe,9805.0,Castellón/Castelló,12.0,104.0,61.19326874043856
Segovia,90,segovia,52375.0,Segovia,40.0,194.0,171.8377088305489
Segura,1,segura,1496.0,Gipuzkoa,20.0,70.0,66.84491978609626
Segura de la Sierra,7,segura de la sierra,1711.0,Jaén,23.0,81.0,409.1174751607247
Selaya,3,selaya,1868.0,Cantabria,39.0,82.0,160.59957173447538
Selva,12,selva,4326.0,"Balears, Illes",7.0,58.0,277.3925104022192
Sena de Luna,1,sena de luna,373.0,León,24.0,164.0,268.0965147453083
Sencelles,4,sencelles,3973.0,"Balears, Illes",7.0,47.0,100.6795872136924
Serón de Nágima,0,seron de nagima,125.0,Soria,42.0,171.0,0.0
Sestao,16,sestao,28512.0,Bizkaia,48.0,84.0,56.116722783389456
Sesué,0,sesue,120.0,Huesca,22.0,221.0,0.0
Sevilla,813,sevilla,689423.0,Sevilla,41.0,91.0,117.92469935003618
Siero,76,siero,53049.0,Asturias,33.0,66.0,143.26377500047127
Sierra Engarcerán,3,sierra engarceran,1039.0,Castellón/Castelló,12.0,105.0,288.7391722810395
Sigüenza,29,siguenza,4911.0,Guadalajara,19.0,257.0,590.5110975361433
Siles,5,siles,2067.0,Jaén,23.0,82.0,241.89646831156264
Sineu,18,sineu,4537.0,"Balears, Illes",7.0,60.0,396.7379325545514
Siétamo,1,sietamo,697.0,Huesca,22.0,222.0,143.47202295552367
Soba,5,soba,1057.0,Cantabria,39.0,83.0,473.0368968779565
Sober,7,sober,2090.0,Lugo,27.0,59.0,334.9282296650718
Sobrescobio,9,sobrescobio,838.0,Asturias,33.0,67.0,1073.985680190931
Socuéllamos,1,socuellamos,12172.0,Ciudad Real,13.0,78.0,8.21557673348669
Sojuela,1,sojuela,690.0,"Rioja, La",26.0,143.0,144.92753623188406
Solana del Pino,1,solana del pino,333.0,Ciudad Real,13.0,80.0,300.3003003003003
Somiedo,10,somiedo,1031.0,Asturias,33.0,68.0,969.9321047526672
Son Servera,47,son servera,12417.0,"Balears, Illes",7.0,62.0,378.5133285012483
Sondika,7,sondika,4670.0,Bizkaia,48.0,904.0,149.8929336188437
Soneja,2,soneja,1521.0,Castellón/Castelló,12.0,106.0,131.49243918474687
Sopela,9,sopela,15048.0,Bizkaia,48.0,85.0,59.80861244019139
Sopuerta,4,sopuerta,2820.0,Bizkaia,48.0,86.0,141.84397163120568
Soraluze-Placencia de las Armas,2,soraluze-placencia de las armas,3857.0,Gipuzkoa,20.0,65.0,51.85377236193933
Soria,52,soria,41025.0,Soria,42.0,173.0,126.7519804996953
Sorihuela del Guadalimar,1,sorihuela del guadalimar,1000.0,Jaén,23.0,84.0,100.0
Sotillo del Rincón,2,sotillo del rincon,171.0,Soria,42.0,174.0,1169.5906432748538
Soto del Barco,17,soto del barco,3801.0,Asturias,33.0,69.0,447.2507234938174
Soto en Cameros,1,soto en cameros,82.0,"Rioja, La",26.0,146.0,1219.5121951219512
Sotés,1,sotes,261.0,"Rioja, La",26.0,145.0,383.1417624521073
Suances,24,suances,9034.0,Cantabria,39.0,85.0,265.6630506973655
Sunbilla,1,sunbilla,672.0,Navarra,31.0,226.0,148.8095238095238
Sóller,73,soller,13882.0,"Balears, Illes",7.0,61.0,525.8608269701772
Taboada,0,taboada,2617.0,Lugo,27.0,60.0,0.0
Tafalla,14,tafalla,10854.0,Navarra,31.0,227.0,128.98470609913397
Tales,1,tales,827.0,Castellón/Castelló,12.0,109.0,120.91898428053204
Tamajón,3,tamajon,153.0,Guadalajara,19.0,262.0,1960.7843137254904
Tamarite de Litera,1,tamarite de litera,3464.0,Huesca,22.0,225.0,28.86836027713626
Tapia de Casariego,8,tapia de casariego,3538.0,Asturias,33.0,70.0,226.11644997173545
Taramundi,8,taramundi,545.0,Asturias,33.0,71.0,1467.8899082568807
Taravilla,1,taravilla,38.0,Guadalajara,19.0,264.0,2631.578947368421
Tardelcuende,1,tardelcuende,414.0,Soria,42.0,181.0,241.5458937198068
Tariego de Cerrato,5,tariego de cerrato,504.0,Palencia,34.0,181.0,992.063492063492
Tarragona,186,tarragona,143649.0,Tarragona,43.0,148.0,129.48227972349267
Tella-Sin,4,tella-sin,208.0,Huesca,22.0,227.0,1923.0769230769235
Tendilla,2,tendilla,353.0,Guadalajara,19.0,266.0,566.5722379603399
Terroba,1,terroba,31.0,"Rioja, La",26.0,147.0,3225.8064516129034
Teruel,34,teruel,36655.0,Teruel,44.0,216.0,92.7567862501705
Teverga,9,teverga,1495.0,Asturias,33.0,72.0,602.0066889632108
Tiebas-Muruarte de Reta,2,tiebas-muruarte de reta,693.0,Navarra,31.0,228.0,288.6002886002886
Tierzo,0,tierzo,32.0,Guadalajara,19.0,268.0,0.0
Tineo,14,tineo,8679.0,Asturias,33.0,73.0,161.30890655605484
Tirgo,1,tirgo,167.0,"Rioja, La",26.0,148.0,598.8023952095808
Todolella,1,todolella,136.0,Castellón/Castelló,12.0,112.0,735.2941176470588
Toga,1,toga,106.0,Castellón/Castelló,12.0,113.0,943.3962264150944
Toledo,189,toledo,87216.0,Toledo,45.0,168.0,216.7033571821684
Tolosa,31,tolosa,20070.0,Gipuzkoa,20.0,71.0,154.45939212755357
Tolva,1,tolva,130.0,Huesca,22.0,229.0,769.2307692307693
Tomelloso,58,tomelloso,37060.0,Ciudad Real,13.0,82.0,156.50296815974096
Toral de los Vados,1,toral de los vados,1751.0,León,24.0,206.0,57.110222729868646
Toreno,1,toreno,2833.0,León,24.0,169.0,35.29827038475115
Torija,4,torija,1877.0,Guadalajara,19.0,274.0,213.10602024507196
Torla-Ordesa,11,torla-ordesa,342.0,Huesca,22.0,230.0,3216.374269005848
Toro,10,toro,8336.0,Zamora,49.0,219.0,119.96161228406908
Torquemada,2,torquemada,964.0,Palencia,34.0,182.0,207.4688796680498
Torralba de Calatrava,1,torralba de calatrava,3068.0,Ciudad Real,13.0,83.0,32.59452411994785
Torre del Compte,1,torre del compte,120.0,Teruel,44.0,225.0,833.3333333333334
Torreblanca,7,torreblanca,5744.0,Castellón/Castelló,12.0,117.0,121.86629526462396
Torreblascopedro,1,torreblascopedro,2382.0,Jaén,23.0,85.0,41.98152812762385
Torrecilla en Cameros,2,torrecilla en cameros,474.0,"Rioja, La",26.0,151.0,421.94092827004215
Torredelcampo,5,torredelcampo,13888.0,Jaén,23.0,86.0,36.00230414746544
Torredonjimeno,2,torredonjimeno,13213.0,Jaén,23.0,87.0,15.136607886172708
Torrejón del Rey,3,torrejon del rey,6435.0,Guadalajara,19.0,280.0,46.620046620046615
Torrelacárcel,1,torrelacarcel,131.0,Teruel,44.0,226.0,763.3587786259542
Torrelavega,57,torrelavega,51796.0,Cantabria,39.0,87.0,110.04710788477875
Torremocha del Campo,3,torremocha del campo,193.0,Guadalajara,19.0,282.0,1554.4041450777202
Torrente de Cinca,1,torrente de cinca,1037.0,Huesca,22.0,234.0,96.43201542912246
Torreperogil,3,torreperogil,7107.0,Jaén,23.0,88.0,42.21190375685944
Torres,2,torres,1328.0,Jaén,23.0,90.0,150.6024096385542
Torres de Albánchez,2,torres de albanchez,735.0,Jaén,23.0,91.0,272.108843537415
Torres del Río,1,torres del rio,116.0,Navarra,31.0,231.0,862.0689655172414
Torrijo del Campo,1,torrijo del campo,501.0,Teruel,44.0,232.0,199.60079840319364
Toén,2,toen,2327.0,Ourense,32.0,81.0,85.94757198109154
Trabada,1,trabada,1070.0,Lugo,27.0,61.0,93.45794392523364
Trabadelo,1,trabadelo,321.0,León,24.0,171.0,311.5264797507788
Trabazos,2,trabazos,848.0,Zamora,49.0,223.0,235.8490566037736
Traiguera,1,traiguera,1302.0,Castellón/Castelló,12.0,121.0,76.80491551459293
Tramacastilla,1,tramacastilla,133.0,Teruel,44.0,235.0,751.8796992481203
Trasmiras,2,trasmiras,1216.0,Ourense,32.0,82.0,164.4736842105263
Trefacio,2,trefacio,163.0,Zamora,49.0,224.0,1226.993865030675
Triacastela,7,triacastela,589.0,Lugo,27.0,62.0,1188.4550084889645
Trillo,2,trillo,1406.0,Guadalajara,19.0,291.0,142.2475106685633
Triollo,2,triollo,73.0,Palencia,34.0,185.0,2739.7260273972606
Truchas,1,truchas,371.0,León,24.0,172.0,269.54177897574124
Trucios-Turtzioz,2,trucios-turtzioz,515.0,Bizkaia,48.0,87.0,388.3495145631068
Tudela,18,tudela,38903.0,Navarra,31.0,232.0,46.26892527568568
Tulebras,1,tulebras,159.0,Navarra,31.0,233.0,628.9308176100628
Tábara,3,tabara,743.0,Zamora,49.0,214.0,403.7685060565276
Ubide,1,ubide,167.0,Bizkaia,48.0,88.0,598.8023952095808
Ucar,1,ucar,194.0,Navarra,31.0,234.0,515.4639175257731
Uceda,4,uceda,3400.0,Guadalajara,19.0,293.0,117.6470588235294
Ucero,4,ucero,80.0,Soria,42.0,189.0,5000.0
Udías,2,udias,960.0,Cantabria,39.0,90.0,208.33333333333331
Ugao-Miraballes,1,ugao-miraballes,4213.0,Bizkaia,48.0,65.0,23.73605506764776
Uharte Arakil,2,uharte arakil,770.0,Navarra,31.0,123.0,259.7402597402597
Ujué/Uxue,3,ujue/uxue,168.0,Navarra,31.0,235.0,1785.7142857142856
Ultzama,12,ultzama,1599.0,Navarra,31.0,236.0,750.4690431519699
Urdazubi/Urdax,8,urdazubi/urdax,354.0,Navarra,31.0,239.0,2259.8870056497176
Urduliz,6,urduliz,6128.0,Bizkaia,48.0,89.0,97.911227154047
Urduña/Orduña,4,urduna/orduna,4247.0,Bizkaia,48.0,74.0,94.18412997409936
Urkabustaiz,2,urkabustaiz,1470.0,Araba/Álava,1.0,54.0,136.0544217687075
Urnieta,10,urnieta,6327.0,Gipuzkoa,20.0,72.0,158.05278963173697
Urrea de Gaén,1,urrea de gaen,455.0,Teruel,44.0,237.0,219.78021978021977
Urretxu,2,urretxu,6730.0,Gipuzkoa,20.0,77.0,29.71768202080238
Usansolo,5,usansolo,4565.0,Bizkaia,48.0,916.0,109.5290251916758
Usurbil,14,usurbil,6488.0,Gipuzkoa,20.0,73.0,215.7829839704069
Utrillas,2,utrillas,3069.0,Teruel,44.0,238.0,65.16780710329098
Uztárroz/Uztarroze,1,uztarroz/uztarroze,136.0,Navarra,31.0,247.0,735.2941176470588
Val de San Vicente,16,val de san vicente,2775.0,Cantabria,39.0,95.0,576.5765765765766
Valbona,1,valbona,187.0,Teruel,44.0,240.0,534.75935828877
Valdealgorfa,1,valdealgorfa,581.0,Teruel,44.0,241.0,172.1170395869191
Valdeavellano de Tera,1,valdeavellano de tera,222.0,Soria,42.0,191.0,450.4504504504504
Valdecuenca,0,valdecuenca,33.0,Teruel,44.0,243.0,0.0
Valdefresno,3,valdefresno,2362.0,León,24.0,175.0,127.01100762066046
Valdegovía/Gaubea,5,valdegovia/gaubea,1064.0,Araba/Álava,1.0,55.0,469.9248120300752
Valdelinares,3,valdelinares,82.0,Teruel,44.0,244.0,3658.5365853658536
Valdeltormo,1,valdeltormo,304.0,Teruel,44.0,245.0,328.9473684210526
Valdelugueros,1,valdelugueros,484.0,León,24.0,177.0,206.61157024793388
Valdemaluque,2,valdemaluque,139.0,Soria,42.0,194.0,1438.848920863309
Valdeolea,3,valdeolea,869.0,Cantabria,39.0,92.0,345.22439585730723
Valdepeñas,15,valdepenas,30782.0,Ciudad Real,13.0,87.0,48.72977714248587
Valdepeñas de Jaén,3,valdepenas de jaen,3469.0,Jaén,23.0,93.0,86.48025367541078
Valdepiélago,1,valdepielago,306.0,León,24.0,179.0,326.79738562091507
Valdepolo,2,valdepolo,1177.0,León,24.0,180.0,169.92353440951572
Valdeprado del Río,1,valdeprado del rio,306.0,Cantabria,39.0,93.0,326.79738562091507
Valderredible,5,valderredible,922.0,Cantabria,39.0,94.0,542.2993492407809
Valderrobres,10,valderrobres,2555.0,Teruel,44.0,246.0,391.3894324853229
Valderrueda,1,valderrueda,817.0,León,24.0,183.0,122.39902080783354
Valdevimbre,4,valdevimbre,892.0,León,24.0,187.0,448.43049327354254
Valdáliga,10,valdaliga,2135.0,Cantabria,39.0,91.0,468.384074941452
Valdés,38,valdes,10776.0,Asturias,33.0,34.0,352.6354862657758
Valencia de Don Juan,2,valencia de don juan,5103.0,León,24.0,188.0,39.19263178522438
Valgañón,1,valganon,133.0,"Rioja, La",26.0,162.0,751.8796992481203
Vall d'Alba,6,vall d'alba,3218.0,Castellón/Castelló,12.0,124.0,186.4512119328776
Valladolid,338,valladolid,302614.0,Valladolid,47.0,186.0,111.69344445399088
Valldemossa,17,valldemossa,2038.0,"Balears, Illes",7.0,63.0,834.1511285574093
Valle de Egüés/Eguesibar,6,valle de egues/eguesibar,22825.0,Navarra,31.0,86.0,26.28696604600219
Valle de Elorz/Elortzibar,5,valle de elorz/elortzibar,,,,,
Valle de Hecho,5,valle de hecho,813.0,Huesca,22.0,901.0,615.0061500615006
Valle de Trápaga-Trapagaran,26,valle de trapaga-trapagaran,11797.0,Bizkaia,48.0,80.0,220.39501568195303
Valle de Villaverde,1,valle de villaverde,249.0,Cantabria,39.0,101.0,401.6064257028112
Valle de Yerri/Deierri,5,valle de yerri/deierri,1549.0,Navarra,31.0,260.0,322.78889606197544
Vallibona,1,vallibona,63.0,Castellón/Castelló,12.0,127.0,1587.3015873015872
Valtierra,3,valtierra,2505.0,Navarra,31.0,249.0,119.76047904191616
Valverde de la Virgen,7,valverde de la virgen,7936.0,León,24.0,189.0,88.20564516129032
Valverde de los Arroyos,3,valverde de los arroyos,85.0,Guadalajara,19.0,311.0,3529.4117647058824
València,1175,valencia,840792.0,Valencia/València,46.0,250.0,139.7491888600272
Vega de Espinareda,3,vega de espinareda,2006.0,León,24.0,196.0,149.55134596211366
Vega de Liébana,2,vega de liebana,676.0,Cantabria,39.0,96.0,295.85798816568047
Vega de Pas,6,vega de pas,776.0,Cantabria,39.0,97.0,773.1958762886597
Vega de Valcarce,5,vega de valcarce,555.0,León,24.0,198.0,900.9009009009008
Vegacervera,6,vegacervera,246.0,León,24.0,194.0,2439.0243902439024
Vegadeo,5,vegadeo,3928.0,Asturias,33.0,74.0,127.29124236252544
Velilla del Río Carrión,5,velilla del rio carrion,1104.0,Palencia,34.0,199.0,452.8985507246377
Venta de Baños,5,venta de banos,6372.0,Palencia,34.0,23.0,78.46829880728185
Ventosa,1,ventosa,196.0,"Rioja, La",26.0,163.0,510.2040816326531
Verín,7,verin,13956.0,Ourense,32.0,85.0,50.15763829177415
Viacamp y Litera,1,viacamp y litera,40.0,Huesca,22.0,247.0,2500.0
Viana,3,viana,4441.0,Navarra,31.0,251.0,67.55235307363206
Viana do Bolo,2,viana do bolo,2715.0,Ourense,32.0,86.0,73.66482504604052
Viguera,1,viguera,377.0,"Rioja, La",26.0,165.0,265.2519893899204
Vila-real,32,vila-real,53623.0,Castellón/Castelló,12.0,135.0,59.67588534770528
Vilablareix,1,vilablareix,4077.0,Girona,17.0,215.0,24.52783909737552
Vilafamés,7,vilafames,1962.0,Castellón/Castelló,12.0,128.0,356.77879714576966
Vilafranca de Bonany,3,vilafranca de bonany,3929.0,"Balears, Illes",7.0,65.0,76.35530669381522
Vilafranca/Villafranca del Cid,2,vilafranca/villafranca del cid,2115.0,Castellón/Castelló,12.0,129.0,94.56264775413712
Vilalba,16,vilalba,13852.0,Lugo,27.0,65.0,115.50678602367888
Vilamartín de Valdeorras,3,vilamartin de valdeorras,1817.0,Ourense,32.0,88.0,165.10731975784262
Vilamarín,2,vilamarin,1836.0,Ourense,32.0,87.0,108.93246187363832
Vilar de Barrio,2,vilar de barrio,1178.0,Ourense,32.0,89.0,169.7792869269949
Vilar de Santos,1,vilar de santos,784.0,Ourense,32.0,90.0,127.55102040816328
Villablino,11,villablino,7585.0,León,24.0,202.0,145.02307185234014
Villabona,2,villabona,5900.0,Gipuzkoa,20.0,75.0,33.898305084745765
Villabrázaro,1,villabrazaro,255.0,Zamora,49.0,238.0,392.156862745098
Villacarriedo,5,villacarriedo,1670.0,Cantabria,39.0,98.0,299.4011976047904
Villacarrillo,4,villacarrillo,10342.0,Jaén,23.0,95.0,38.67723844517501
Villaciervos,1,villaciervos,86.0,Soria,42.0,205.0,1162.7906976744189
Villada,2,villada,863.0,Palencia,34.0,206.0,231.7497103128621
Villadangos del Páramo,2,villadangos del paramo,1268.0,León,24.0,205.0,157.72870662460568
Villadepera,0,villadepera,165.0,Zamora,49.0,240.0,0.0
Villaescusa,2,villaescusa,3970.0,Cantabria,39.0,99.0,50.37783375314861
Villaescusa,2,villaescusa,237.0,Zamora,49.0,241.0,843.8818565400843
Villafranca,1,villafranca,3163.0,Navarra,31.0,254.0,31.61555485298767
Villafranca del Bierzo,12,villafranca del bierzo,2591.0,León,24.0,209.0,463.1416441528368
Villafranca del Campo,1,villafranca del campo,290.0,Teruel,44.0,251.0,344.82758620689657
Villafáfila,2,villafafila,429.0,Zamora,49.0,242.0,466.20046620046617
Villagatón,4,villagaton,611.0,León,24.0,210.0,654.6644844517185
Villahermosa,0,villahermosa,1712.0,Ciudad Real,13.0,89.0,0.0
Villahermosa del Río,2,villahermosa del rio,473.0,Castellón/Castelló,12.0,130.0,422.8329809725159
Villaherreros,1,villaherreros,211.0,Palencia,34.0,211.0,473.9336492890996
Villalazán,1,villalazan,241.0,Zamora,49.0,245.0,414.9377593360996
Villalcázar de Sirga,2,villalcazar de sirga,160.0,Palencia,34.0,215.0,1250.0
Villalpando,6,villalpando,1433.0,Zamora,49.0,250.0,418.702023726448
Villamanín,2,villamanin,863.0,León,24.0,901.0,231.7497103128621
Villamayor de Monjardín,1,villamayor de monjardin,115.0,Navarra,31.0,255.0,869.5652173913044
Villamañán,1,villamanan,1084.0,León,24.0,212.0,92.25092250922508
Villamediana de Iregua,2,villamediana de iregua,9263.0,"Rioja, La",26.0,168.0,21.591277124041888
Villamejil,3,villamejil,653.0,León,24.0,214.0,459.4180704441041
Villamuriel de Cerrato,0,villamuriel de cerrato,6501.0,Palencia,34.0,225.0,0.0
Villanova,2,villanova,171.0,Huesca,22.0,249.0,1169.5906432748538
Villanueva de Alcorón,1,villanueva de alcoron,140.0,Guadalajara,19.0,317.0,714.2857142857143
Villanueva de Azoague,0,villanueva de azoague,398.0,Zamora,49.0,257.0,0.0
Villanueva de Cameros,0,villanueva de cameros,68.0,"Rioja, La",26.0,169.0,0.0
